,Unnamed: 0,Zona,Precio,Caracteristicas,Descripcion,URL
0,0,"Ph en Alquiler en Saavedra, Capital Federal",25000,70 m²•2 dormitorios•1 baño,"Hermoso, muy espacioso y luminoso ph tipo loft, ubicado al frente , entrada independiente. Hall de entrada, cocina comedor con salida a patio, baño completo y dos habitaciones, una en pb y otra en entrepiso con salida a balcón. Terraza abierta y muy soleada. Superficie cubierta 70m2 y descubierto 58m2.
EL ALQUILER INCLUYE ABL Y SIN EXPENSAS. NO ACEPTAMOS MASCOTAS.
Requisitos: garantía familiar",https://www.argenprop.com/ph-en-alquiler-en-saavedra-3-ambientes--6647344
1,1,"Ph en Alquiler en Villa Urquiza, Capital Federal",12500,32 m²•Monoambiente•12 años,"Amplio 1 ambiente con patio con lavadero. Cocina integrada. Placard. Baño completo.
Edificio de pocas unidades ubicado a pocas cuadras subte B y tren Villa Urquiza
Aumento semestral: $12500/14400/16500/19000.- Expensas $2450 aprox.-

Requisitos: 1 mes de deposito/ 1 mes adelantado/ Garantía de Capital Federal/ Comprobantes de ingresos/ sin animales
Estudio Mónaco Propiedades ******** Lineas",https://www.argenprop.com/ph-en-alquiler-en-villa-urquiza-1-ambiente--6612132
2,2,"Ph en Alquiler en Urquiza R, Villa Urquiza",23500,75 m²•1 dormitorio•40 años,"PH en planta baja, luminoso, reciclado, amplio living y comedor, patio techado para  escritorio, mas 1 dormitorio, amplia cocina comedor, patio.",https://www.argenprop.com/ph-en-alquiler-en-urquiza-r--2867240
3,3,"Ph en Alquiler en Villa Urquiza, Capital Federal",20000,42 m²•1 dormitorio•8 años•Apto Profesional•1 baño,"En edificio de 2 pisos con ascensor, 14 unidades funcionales en total, departamento de 2 ambientes con balcon. Sin expensas.
APTO PROFESIONAL.
Ingresamos a un living comedor amplio con cocina integrada. Muebles completos, spar y calefon para agua caliente.  Balcon frances que da al jardin de uso comun de la planta baja. Amplio hall de distribucion que comunica con el baño completo con extractor de",https://www.argenprop.com/ph-en-alquiler-en-villa-urquiza-2-ambientes--6643508
4,4,"Ph en Alquiler en Villa Urquiza, Capital Federal",18850,38 m²•1 dormitorio•4 años•Excelente•1 baño,"*** NO SE PERMITEN MASCOTAS*** Excelente dpto tipo Ph de 2 ambientes con patio. La propiedad se ubica al frente con entrada independiente, cuenta con amplia cocina con conexion para lavarropas, living comedor y baño completo. El dormitorio nos conduce un a un patio de uso exclusivo de la unidad. 
4 años de antigüedad. 
Gastos mensuales tipo expensas agosto 2019 : $2895 incluye ABL, Seguro del",https://www.argenprop.com/ph-en-alquiler-en-villa-urquiza-2-ambientes--6572663
5,5,"Ph en Alquiler en Urquiza R, Villa Urquiza",23500,75 m²•1 dormitorio•40 años•Muy Bueno•Apto Profesional•1 baño,"PH en planta baja, luminoso, reciclado, amplio living y comedor, patio techado para  escritorio, mas 1 dormitorio, amplia cocina comedor, patio.",https://www.argenprop.com/ph-en-alquiler-en-urquiza-r--6635535
6,6,"Ph en Alquiler en Saavedra, Capital Federal",19500,65 m²•3 dormitorios•1 baño,"PH EN ALQUILER ENTRADA INDEPENDIENTE

UNICAMENTE USO COMERCIAL !! NO VIVIENDA.

3 DORMITORIOS - 2 PATIOS - BALCON AL FRENTE


Pagos e impuestos:
- Meses de depósito:1
- Impuestos a cargo de: inquilino 
- Agua a cargo de: inquilino 

Superficie:
- Superficie total: 100 m2

Propiedad:
- Edificación: Propiedad Horizontal

Servicios e instalaciones:
- Parrilla",https://www.argenprop.com/ph-en-alquiler-en-saavedra-4-ambientes--6178172
7,7,"Ph en Alquiler en Villa Urquiza, Capital Federal",13000,1 dormitorio•1 baño,"MUY BUEN PH , LUMINOSO, MUEBLES NUEVOS, BAÑO COMPLETO, 


Propiedad:
- Edificación: Propiedad Horizontal

Ubicación:
- Cerca de: Av. Monroe
- Entre calles: Blanco Encalada  Y Av. Olazabal",https://www.argenprop.com/ph-en-alquiler-en-villa-urquiza-2-ambientes--6538473
8,8,"Ph en Alquiler en Villa Urquiza, Capital Federal",16000,40 m²•Monoambiente•1 año•Excelente•Apto Profesional•1 baño,"Divino MONOAMBIENTE divisible 1ro por escalera
RE ESTRENAR
Cocina americana soñada con barra movil espacio para lava-secarropas Placard 
Exp $ 1300 (incluye Aysa y ABL)

ALQUILER CON GARANTIA PROPIETARIA EXCLUYENTE
Mascota de raza pequeña",https://www.argenprop.com/ph-en-alquiler-en-villa-urquiza-1-ambiente--6558969
9,9,"Ph en Alquiler en Villa Urquiza, Capital Federal",22000,40 m²•1 dormitorio•2 años•Apto Profesional•1 baño,"Apto Profesional!!
Hermoso PH de 2 ambientes con patio en Villa Urquiza - La Pampa y Av. Alvarez Thomas. Super luminoso!!

Living comedor (5.40x3.50) con salida a patio (3.30x2.60), cocina completa incorporada al living, dormitorio (3x2.80) con placard con interiores, amplio baño completo con vanitory.

Características: Toda la unidad tiene pisos de porcelanato, calefacción eléctrica por losa en",https://www.argenprop.com/ph-en-alquiler-en-villa-urquiza-2-ambientes--6566651
